,,RMSE_RF,RMSE_BR,RMSE_KRR,RMSE_MLP,,PCC_RF,PCC_BR,PCC_KRR,PCC_KRL,PCC_MLP,,SCC_RF,SCC_BR,SCC_KRR,SCC_KRL,SCC_MLP,NDCG@k,NDCG_Pathway,NDCG_RF,NDCG_BR,NDCG_KRR,NDCG_KRL,NDCG
42,,1.339691374,1.478222262,1.586676309,1.727987759,,0.315985529,0.23790683,0.281862786,0.126201578,0.0771311292,,0.26675398,0.210711718,0.199793822,0.161882016,0.046861105,,,,,,,
43,,1.332520218,1.407532646,1.588442179,4.576723337,,0.363245356,0.317303796,0.266868903,0.0535559877,0.260992697,,0.379891058,0.334027298,0.276786698,0.0456336005,0.273565864,,,,,,,
44,,3.036466094,3.429552494,3.543370449,5.488953331,,0.372466275,0.210466309,0.272089162,0.156878131,-0.0702145007,,0.370298998,0.217578585,0.251468486,0.211445888,-0.0735030932,,,,,,,
45,,0.473311257,0.521952378,0.589921186,0.958473629,,0.183411545,0.120338752,0.107986566,-0.159828083,-0.00458001214,,0.192219921,0.0972297198,0.148472231,-0.183298809,-0.000157624199,,,,,,,
46,,0.961932003,1.076813604,1.180328253,3.076799504,,0.574055223,0.507660359,0.490616487,0.473739194,0.38452986,,0.577092774,0.494038371,0.503663501,0.471019274,0.36351521,,,,,,,
47,,2.606185151,2.821658593,2.936596667,3.715234603,,0.234436069,0.159953143,0.229749418,0.046384645,0.129349178,,0.172504342,0.134917247,0.157812511,0.0798875707,0.116848353,,,,,,,
48,,0.934151575,1.001142392,1.055266435,1.170103611,,0.0591965023,0.0392806857,0.130922842,0.0221451597,0.0510330753,,0.0650523653,0.0503920171,0.14701031,0.0662422223,0.0427757765,,,,,,,
49,,0.558714464,0.631012814,0.694698429,0.868349107,,0.595803686,0.51620604,0.49259507,0.166710688,0.307371239,,0.526029023,0.450578646,0.473845902,0.204806063,0.268809263,,,,,,,
50,,1.313894622,1.413754051,1.588558813,2.45039035,,0.26726184,0.20710994,0.175206228,0.112817873,0.100388656,,0.234680811,0.166443482,0.132462913,0.105185557,0.108241095,,,,,,,
51,,2.186257539,2.582361659,2.451828963,2.855827145,,0.559712345,0.434074776,0.513861189,0.492063349,0.37163034,,0.552992128,0.426905311,0.510724272,0.435438275,0.340280466,,,,,,,
52,,1.131996197,1.250814196,1.268920744,2.552629058,,0.650957246,0.594459866,0.600624752,0.538801404,0.282594846,,0.601069399,0.553030659,0.534008191,0.526852454,0.291208138,,,,,,,
53,,2.56732503,2.866548818,2.980258257,3.61826808,,0.636732755,0.55677144,0.550395598,0.584892174,0.447289157,,0.610825761,0.526455251,0.548096503,0.544838403,0.399137204,,,,,,,
54,,0.888762049,0.99158292,1.075123658,1.489142484,,0.592865738,0.531748224,0.525069575,0.53163832,0.418667009,,0.56370637,0.507811623,0.495975395,0.509572632,0.408013702,,,,,,,
55,,2.016027596,2.204091084,2.155814797,4.102753208,,0.642218569,0.594188196,0.628502847,0.544432696,0.385838951,,0.598636752,0.555935215,0.588061422,0.500832857,0.351126837,,,,,,,
56,,2.607610338,2.939475045,2.981651416,4.084728645,,0.486645213,0.392056957,0.414895055,0.422367456,0.289368239,,0.408652704,0.333006979,0.373040954,0.330525379,0.222024886,,,,,,,
57,,2.226957728,2.633823076,2.568424328,3.947900086,,0.485125114,0.319649742,0.416779426,0.371313776,0.180359346,,0.401555242,0.269216006,0.384773968,0.349341598,0.141469707,,,,,,,
58,,2.389072158,2.560946322,2.850846432,3.265304092,,0.485134263,0.429098117,0.421146115,0.411991152,0.30154021,,0.434674259,0.394192586,0.392638557,0.355749976,0.266909083,,,,,,,
59,,2.925307021,3.434106494,3.235125181,9.040666078,,0.599741768,0.525936661,0.591912241,0.494024547,0.283305435,,0.496752422,0.45714092,0.525166202,0.416581546,0.247506247,,,,,,,
60,,2.308930695,2.615198216,2.972996675,2.801679122,,0.426131158,0.294735018,0.273667063,0.413845828,0.266878334,,0.406846658,0.295313026,0.266597741,0.41081056,0.267841804,,,,,,,
61,,0.850148452,0.929157845,0.932342642,2.843651547,,0.62850728,0.58113354,0.592333756,0.502734699,0.368111826,,0.577045134,0.533273154,0.579225278,0.50092032,0.388559706,,,,,,,
62,,0.497251703,0.543342511,0.598693099,2.455822264,,0.539606186,0.476666139,0.466960225,0.45475914,0.188750196,,0.468767335,0.422069221,0.418422595,0.379274581,0.171440291,,,,,,,
63,,3.162442599,3.394869056,3.609305027,9.649280087,,0.3315714,0.268871202,0.293379851,0.387120805,0.197394558,,0.310689793,0.251384367,0.299657321,0.319564474,0.195805975,,,,,,,
